Questions,Category
Saan ka nya iniwan? ,location
"Ano ang pipiliin mo, gatas na choco o choco na gatas?",entity
Ano ang favorite color mo?,description
Ano ako para sa iyo? ,human
Bakit mo pa rin siya mahal matapos ka niya sinaktan?,description
Bakit hindi mo ginawa ang takdang-aralin mo?,description
Bakit mo siya iniwan?,human
Paano maging masaya?,description
Paano ko matatapos ang thesis ko?,description
Paano kita malilimutan?,human
Kailan kaarawan mo?,numeric
Kailan ka uuwi?,numeric
Kailan pa kita makikita ulit?,numeric
"Sino ang mahal mo, DOTA o ako?",human
Sino ang crush mo?,human
Sino ka?,human
"Alin ang pipiliin mo, kanan o kaliwa?",entity
"Alin ang bibilhin mo, gatas o juice?",entity
"Alin ang gusto mo, matulog o kumain? ",entity
Saan ka nakatira?,location
Saan tayo magkikita?,location
Saan ka nanggaling?,location
"Ano ang mas pipilion mo, Nike o Sketchers?",entity
"Ano ang mas mahalaga sa iyo, ang stickers o bracelets?",entity
Ano ang magandang gawin para sa movie date natin?,description
Bakit kailan mo itong itanong Faye?,description
Bakit kailangan ko itong sagutan Layka?,description
Bakit pinili mong sagutan ang mga tanong na ito Cathy?,description
Paano mo aayusin ang sistema ng pamahalaan sa Greece?,entity
Paano mo palalaguin ang Camp Sawi upang ito ay maging kabighabighani sa mga turista?,entity
Paano mo ibabalik ang tiwala ni Vince na sinira ni Kath?,description
Kailan tayo kakain sa Vikings?,numeric
Kailan tayo pupunta sa SM seaside?,numeric
Kailan mo ibabalik ang jeans ko?,numeric
Sino si Jollibee?,human
Sino si McDonald?,human
Sino ang ka-text mo kagabi na nag ngangalang David?,human
Alin ang mas mahalaga laptop o celpon?,entity
"Alin sa dalawa ang totoo, ang mahal kita o ang mahal mo ako?",human
"Alin ang hindi masayang gawin, ang bungee jumping o skydiving?",entity
Saan ang Luneta Park?,location
Saan napunta ang mga aktor sa Wildflower?,location
"Saan ang mas maganda puntahan, Malaysia o Thailand?",location
Ano ang pangalan mo?,human
Ano ang tawag sa mga mag-aaral sa UP?,human
Ano ang tawag mo sa kapatid ng iyong ina?,human
Bakit sa UP ka nag-aaral?,entity
Bakit mo siya inaway?,description
Bakit ka nagagalit?,description
Paano mo babayaran ang utang mo?,description
Paano kumuha ng birth certificate?,location
Paano mo aayusin ang problema?,description
Kailan ang iyong kaarawan?,numeric
Kailan ka pupunta ng ibang bansa?,numeric
Kailan mo makukuha ang sahod mo?,numeric
Sino ang nagbibigay sa iyo ng baon?,human
Sino ang paborito mong guro?,human
Sino ang pipiliin mo?,human
Alin sa sumusunod ang pinaka importante para sa iyo?,human
Alin sa kanila ang nakaaway mo?,human
Alin ang gusto mong kainin?,entity
Saan mo planong mag bakasyon?,location
Saan mo gusto mag trabaho?,location
Saan ka kaain ng tanghalian?,location
Ano ang mas mahalaga sayo ang pag-ibig o ang pagka-kaibigan natin?,entity
Ano ba talaga ako sa buhay mo?,human
Ano ang kailangan kong gawin upang ako ang piliin mo?,description
Bakit lagi nalang iniiwan ng mga taong mahal ko?,description
Bakit ba siya nalang lagi ang binibigyan mo ng oras at panahon?,human
Bakit mo ba nagawang pagtaksilan ako?,description
Paano mo nagawang ipagpalit ang pamilya mo sa babaeng minsan mo lang nakilala?,human
Paano ba uli ako babangon at magsisimula?,description
Paano ko ba makakalimutan ang lahat ng sakit na dinulot mo?,human
Kailan ba magiging tama ang mali?,description
Kailan darating ang panahon na pwedi na kitang mahalin?,numeric
Kailan mo ba ako ipakikilala sa pamilya mo?,numeric
"Sino ang pipiliin mo, ako o siya?",human
Sino ba sa atin ang may malaking pagkukulang?,human
Sino ka ba talaga?,human
Alin ba sa dalawang babae ang pipiliin mo?,human
Alin dyan ang dapit ilagay sa loob ng sasakyan?,entity
Alin ba dito ang mga gamit mo?,entity
Saan ba patutungo ang relasyon natin?,numeric
Saan tayo magkikita bukas?,location
Saan mo ako dadalhin?,location
Ano ang kailangan mo?,description
Ano ang kailangan nila?,description
Ano ang kailangan ko?,description
Bakit tayo aalis?,location
Bakit kayo aalis?,location
Bakit sila aalis?,location
Paano tayo na punta dito?,entity
Paano kayo na punta dito?,entity
Paano sila na punta dito?,entity
Kailan tayo aalis?,numeric
Kailan kayo aalis?,numeric
Kailan sila aalis?,numeric
Sino tayo?,entity
Sino kayo?,entity
Sino sila?,entity
Alin ang tama?,entity
Alin ang tunay?,entity
Alin ang totoo?,entity
Saan tayo pupunta?,location
Saan kayo pupunta?,location
Saan sila pupunta?,location
Ano ang gagawin mo kung nawala mo ang mismong sarili mo?,human
Anong klaseng pamilya ang kinalakihan mo?,entity
Ano sa palagay mo ang tingin ng mga tao sa'yo?,human
Bakit ka nabubuhay?,entity
Bakit kailangan mong sundin ang social norms?,entity
Bakit mo ako pinapahirapan?,human
Paano mo sasagutin ang tanong na bakit?,description
Paano ba magmahal?,human
Paano mo masasabing mahal mo ang isang tao?,human
Kailan ka babangon?,numeric
Kailan ka mamumulat sa katotohanan?,human
Kailan mo ba tatanggapin sarili mo?,numeric
Sino ang may sala?,human
Sino ka para gawin akong alipin nang katangahan mo?,human
Sino ang diyos?,human
Alin sa dalawa ang gusto mo?,entity
Alin sa kanila ang ayaw mong makilala nang lubos?,human
Alin sa mga kendi na iyan ang pinakamapait?,entity
Saan nga ba patungo ang lahat na ito?,location
Saan ka pupunta kapag nakatapos ka na sa kolehiyo?,location
Saan mo inilagay ang utak mo?,location
Ano ang paborito mong pampalipas-oras?,entity
Ano ang kinahinatnan ng iyong pagpapakumbaba?,description
Bakit ka muling nabigo sa kabila ng aking payo?,human
Bakit mo siya binalikan at ako'y iniwang luhaan?,human
Paano mo nabuo ang iyong pasya?,description
Paano nahulog ang loob mo sa kanya?,human
Kailan ka matatapos sa paghihintay?,numeric
Kailan ka ba matatauhan?,numeric
"Sino itong nasasalamin,kaharap ko ngunit hindi tumitingin?",human
Sino ang nagpaiyak sa'yo?,human
Alin ang iyong pinakamamahaling bag?,entity
Alin ang pinakamaganda sa mga nabili ko?,entity
Saan ang dumurog sa puso mo?,human
Saan ang hangganan ng langit?,location
Ano ang pangalan mo?,human
Ano ang sinabi niya?,description
Ano ang ibig mong sabihin?,description
Bakit ngayon ka lang?,numeric
Bakit mo nagawa iyon?,description
Bakit kaya mahal kita?,description
Paano mo nagawa iyon?,description
Paano ka niya sinaktan?,description
Paano niya tinapos ang proyekto?,human
Kailan nagsimula ang kantahan?,numeric
Kailan ka ipinanganak?,numeric
Kailan siya tumungo sa Davao?,numeric
Sino ang pipiliin mo?,human
Sino ang mahal mo?,human
Sino ang nanalo?,human
Alin diyan ang gusto mo?,entity
Alin ang naiiba?,entity
Alin ang tama?,entity
Saan ka pupunta?,location
Saan siya pumunta?,location
Saan ka tumungo?,location
Ano ang kailangan kong gawin upang ikay mapasaakin?,description
Bakit napakapangit ng disenyo ng iyong salwal?,human
Paano ba kita maikukumbensi na ako ay tama at ikaw ay mali,description
Kailan siya darating?,numeric
Sino ang salarin ng krimen na ito?,human
Alin dito sa apat na tuta ang pipiliin ko?,entity
Saan ba tayo magkikita mamayang gabi?,location
Ano ang kaya mo i-give-up para sa pamilya?,entity
"Ano ang nauna, itlog o manok?",entity
Ano ang gagawin mo kung pumanaw ang mga magulang mo?,description
Bakit siya pa kung pwede naman ako?,human
Bakit kailangang may mang-iwan?,human
Bakit tayo nananaginip?,human
Paano kung lahat ng ito ay panaginip?,description
Sa paanong paraan mo gustong mamatay?,description
Paano mo ipapaliwanag ang ayaw mong ipaliwanag?,description
"Kung maibabalaik mo ang panahon, kailan mo gustong bumalik?",numeric
Hanggang kailan mo matatago ang iyong sekreto?,numeric
Hanggang kailan mo mapipigilan ang iyong utot?,numeric
Sino ang taong gusto mong makasama sa pinakamahabang panahon?,human
Sino ang nakadiskubre nang mundo?,human
Sino ang gusto mong maging ikaw?,human
"Alin ang mas gusto mo, pizza or fries?",entity
"Alin ang mas maganda, sunrise o sunset?",entity
"Alin ang gusto mong pumuti, ngipin o kili-kili?",entity
Saan ba ako nagkamali?,numeric
Saan mo gustong pumunta kung bibigyan ka ng pagkakataon na makapunta kahit saan?,location
Saan nanggaling ang mga kapangyarihan ng superheroes?,human
Ano ba ang nagustuhan mo sa kanya?,description
Ano ang silbi mo dito?,description
Ano ang kulay ng damit na isusuot mo bukas?,description
Bakit asul ang dagat?,description
Bakit ba nasasaktan ang pusong nagmamahal?,description
Bakit mahal ang mga damit sa H&M?,numeric
Paano mo ipaliliwanag ang nadarama mo sa taong mahal mo?,description
Paano magpatawad ng taong kinasusuklaman?,human
Paano nagagawa ang laptop?,description
Kailan ba sisikat ang araw sa kanluran?,numeric
Kailan ba matatapos ang digmaan?,numeric
Kailan darating ang tamang panahon?,numeric
Sino ang nagpapasaya sa iyo?,human
"Sino ang mas magaling umawit, si Mariah Carey o si Ariana Grande?",human
Sino ang gusto mong pasalamatan?,entity
"Alin ang mas mabango, rosas o sampaguita?",entity
"Alin ang pipiliin mong tsokolate, Hershey's o Goya?",entity
"Alin ang mas masarap, Oreo o Cream-O?",entity
Saan ba patungo ang daang ito?,location
Saan aabot ang bente pesos mo?,description
Saan nakatira si Wonder Woman?,location
Ano ang name ng favorite movie mo?,description
Ano ang nagustuhan mo sa kanya?,description
Ano ako para sa iyo?,human
Bakit ako maganda?,description
Bakit love ako ng love ko?,description
Bakit andaming tao sa mundo?,description
Paano ako makakakuha ng napakaraming french fries na libre?,location
Paano maging mabait?,description
Paano ko tutuldukan ang pagmamahalan namin?,description
Kailan kaya siya babalik?,numeric
Kailan ako makakabili ng maraming gummy bears?,numeric
Kailan kita makikita again?,numeric
Sino ka ba sa buhay niya?,human
Sino ang pinakamagandang tao sa mundo?,entity
Sino ang nagpakamatay sa krus para maligtas tayong lahat?,human
"Alin ang mas mahirap, ang mahalin ka o ikaw magmahal?",description
Alin sa lahat ng numero sa mundo ang paborito mo?,numeric
Alin sa mga kapatid mo ang mas close ka?,entity
Saan kaya ako maaaring tumira na walang iistorbo sa akin?,location
Saan ko mahahanap ang the one? ,location
Saan na si ate ko?,location
Ano ang  paborito mong pagkain?,entity
Ano ang paborito mong kulay?,entity
Ano ang paborito mong numero?,numeric
Bakit kaya yun blackboard ndi kulay black?,description
"Bakit kapag close kayo, open kayo sa isa't isa?",description
"bakit ang tagalog sa ""cabinet members"" ay miyembro ng gabinete? di ba dapat miyembro ng aparador?",description
"Paano na kaya, di ko naman sinasadya?",human
Paano mo malalaman pangalan ko?,entity
Paano mo malalaman ang year level ko?,entity
Kailan ka ga-graduate?,numeric
Kailan ang iyong kaarawan?,numeric
Kailan ang iyong kasal?,numeric
Sino ang babae sa septic tank?,human
Sino ang kasintahan mo?,human
Sino ang papakasalan mo?,entity
Saan na nga ba ang barkada?,location
Saan ka tumatambay sa skwelahan?,location
Saan ka ngayon?,location
Ano ba ang pangalan ng kompanya nila? ,location
Ano ba ang mayroon sa kanya na wala ako? ,description
Ano ang tawag sa taong walang pakialam sa iba? ,description
Ano ang gustong mangyari ni Duterte sa bansang Pilipinas? ,description
Ano sa palagay mo ang gustong kulay ni Faye? ,description
Anong oras ba magsisimula ang patimpalak? ,numeric
Bakit mo siya iniwan sa gitna ng daan? ,description
Bakit siya umalis sa opisina? ,description
Bakit lagi kang wala sa pwesto mo? ,description
Bakit lagi kang nagtatanong ng mga walang kwentang bagay? ,description
Bakit madali lang sa iba ang maglaro ng damdamin? ,description
Paano ba lulutuin ang ginata-ang kalabasa? ,description
Paano nangyari ang pamamaril sa isang alkalde? ,description
Paano mo sinimulan ang isang bagay na wala ka pang alam? ,description
Paano ba ang magmahal na hindi masasaktan? ,description
Kailan ba ang tamang panahon na tayo ay muling magsasama? ,numeric
Kailan ba ang kaarawan ni Glenndie?,numeric
Kailan mo ba mapapansin ang aking lihim na pagtingin? ,numeric
Kailan ko ba pwedeng makuha ang aking diploma? ,numeric
Kailan mo siya papaasahin? ,numeric
Sino ang nag-utos sa iyo na saktan ang damdamin ko? ,human
Sino ang huling nakakita sa nangyaring patayan? ,human
Sino dito ang pwedeng makatrabaho ng prinsesa? ,human
Sino sa kanila ang ini-ibig mo? ,human
Alin sa dalawang ito ang mas matimbang sayo? ,description
Alin dito ang pwede nating kainin mamaya? ,description
"Alin ba ang tama, ang magpakatanga o ang magparaya? ",description
Alin sa mga dahilan mo ang totoo? ,description
Alin ka dito sa mga taong nasa larawan? ,description
Saan ba tayo tutungo? ,location
Saan hahantung ang lahat ng mga sakripisyo mo? ,description
Saan mo inilagay ang susi? ,location
Saan ka titira kung wala ako? ,location
Saan mo pwedeng itatago ang mga bagay na ito? ,location
Ano ang pakiramdam mo?,description
Ano ang pinakamasakit na nangyari sa buhay mo?,description
Ano ang pinakamagandang bagay na natanggap mo?,description
Ano ang ibig sabihin ng salitang mahal?,description
Ano ang paborito mong kanta?,description
Bakit kailangan mong maghanap ng iba?,description
Bakit hindi mo makita na nandito lang ako para sayo?,description
Bakit hindi sakto ang pagkasulat mo ng titulo ng survey mo?,description
Bakit hindi ako marunong magtagalog?,description
Bakit maganda si Czarina?,description
Paano ba magmahal?,description
Paano na ba tayo?,description
Paano ba magluto ng puto?,description
Paano na ang mga pangarap natin?,description
Paano ba mahalin ang isang tulad ko?,description
Kailan mo mararamdaman ang pag-ibig ko para sayo?,numeric
Kailan ako sasagutin?,numeric
Kailan ako mamahalin?,numeric
Sino ang nagpapasagot ng mga tanong na ito?,human
Sino ang sasagot?,human
Sino ang mahal mo?,human
Sino ba ang maganda?,human
Sino ba ang mas maganda sa amin?,human
Alin sa mga sumusunod ang naiiba?,description
Alin sa dalawa ang mas gusto mo?,description
Alin ang mas maganda?,description
Alin ang mas gusto mo?,description
Alin ang mas matimbang sa puso mo?,description
Saan kayo una nagkita?,location
Saan kayo naghahalikan?,location
Saan ka galing?,location
Saan ka pupunta?,location
Saan ka na ngayon?,location
Ano ang pangalan mo?,description
Ano ang paborito mong kulay?,description
Ano ang binigay mo sa kanya?,description
Bakit ang ganda mo ngayon?,description
Bakit tumawid ka sa daan?,description
Bakit hindi ka dumalo sa pagdiriwang?,description
Paano kita makukumbinsi na pumunta sa aking bahay?,description
Paano kita mapapasayaw sa gilid ng daan?,description
Paano ba pumunta sa paaralan?,description
Kailan tayo magkikita ulit?,numeric
Kailan ka magpapagupit ng buhok?,numeric
Kailan ka pupunta sa simbahan?,numeric
"Sino ang mas maganda, ako o siya?",human
Sino ang paborito mong anak?,human
Sino ang uuwi galing sa bahay ni kuya?,human
Alin ang naiiba?,description
Alin ang mas makakabuti sa'yo?,description
Alin ang pinakamagandang gawin kung nasa bahay ka lang?,description
Saan tayo tutungo?,location
Saan tayo magtatapo?,location
Saan ka ko makikita ang Ibong Adarna?,location
Ano ang nakain mo?,description
"Ano ba talaga ang gusto mo, ang beer na to o ang pag-ibig ko?",description
Ano ang kailangan kong gawin para makapasa ng thesis?,description
Ano ang magpapatibok ng puso mo?,description
Ano ang nagpabago ng isip ni rj? ,description
Bakit nga ba mahal kita?,description
Bakit sinungaling ka?,description
Bakit ba may lungkot sa iyong mga mata?,description
Bakit pangit si Faye?,description
Bakit napakalungkot ng iyong mata?,description
Paano na ang buhay ko kung wala ka?,description
Paano nga ba ang magmahal?,description
Paano kita mapapa-oo?,description
Paano patahimikin si Faye?,description
Paano patigilin si Faye?,description
Kailan ba ako magkakasyota?,numeric
Kailan kaya mapapansin ang aking lihim?,numeric
Kailan sisikat ang araw?,numeric
Kailan titigil si Faye?,numeric
Kailan magigising ang pusong matagal nang natutulog?,numeric
Sino ang lecheng guro na nagbagsak sa amin?,description
Sino nga ba siya sa buhay mo?,description
Sino ang pumatay sa pag-ibig ko?,human
Sino ang babaeng nagpapatibok  ng puso mo?,human
Sino ang nagbigay ng lipstick?,human
Sino ang lalaking tumalon sa bintana at nagpakamatay?,human
Alin sa dalawa ang gusto mo?,description
Alin sa mga ito ang nararapat para sayo?,description
Alin sa mga kilos niya ang nagpatibok ng puso ko?,description
Alin sa mga ginagawa mo ang tama?,description
Alin dito ang kakaiba?,location
Saan tayo unang magtatalik?,location
Saan patungo ang daan na ito?,location
Saan ako lulugar?,description
Saan ako nagkamali?,description
Nasaan na ang lalakeng magpapatibok ng aking puso?,location
Ano ang iyong type sa isang babae?,description
Ano ang pangalan ng iyong napupusuan na babae?,human
Ano ang pinakanakakapagpabagabag na tanong?,description
Bakit kamukha ko si Lee Min Ho?,description
Bakit nya ako iniwan?,description
Bakit isa lang ang puso ko?,description
Paano ba ang magmahal?,description
Paano naging bilog ang mundo?,description
Paano mag code nang may nakatakip sa mata?,description
Kailan ang kaarawan mo?,numeric
Kailan ako gagraduate?,numeric
Kailan magtatapos ang mundo?,numeric
Sino ang Ama ng Kompyuter?,human
Sino ang pambansang bayani?,human
Sino ang pinakamatanda na guro sa DCS?,human
Alin sa power rangers spd ang pinakamagaling?,human
Alin sa pangunahing kulay ang gusto mo?,description
Alin sa mga kaklase mo ang pinakamaganda?,human
Saan ka?,location
Saan ka pupunta?,location
Saan ka patungo?,location
Ano ang nagbibigay kay darna ng kapangyarihan?,description
Bakit ikaw ang pinili niya at hindi ako? ,description
Paano mo siya naloko araw-araw?,description
Kailan mo ba sasabihin ang totoo? ,numeric
Sino ba talaga mahal mo?,human
Alin ang pipiliin mo?,description
Saan ba ito patungo?,location
Ano ang kauna-unahang ginagawa mo sa unaga? ,description
Ano ang nagpapaganda sayo? ,description
Ano ang mas gusto mo? ,description
